index,score
1001,9
1002,10
1003,17
1005,9
1006,9
1007,8
1012,9
1013,10
1014,17
1015,10
1016,12
1019,11
1030,12.5
1031,9
1034,13
1035,12
1036,16
1037,8
1041,11
1042,10
1043,11
1044,11
1045,10
1050,9
1080,6
1081,16
1090,15
1091,8
1092,1
1093,7
1110,12
1120,7
1121,11
1132,9
1132,20
2012,15
2014,14
2015,7
2020,10
2022,12
2026,10
2027,12
2028,9
2036,14
2040,13
2043,20
2046,8
2048,9
2052,10
2053,15
2055,0
2056,14
2063,16
2089,15
2110,9
2115,9
2133,10
2140,6
2148,10
2152,1
2153,12
2211,7.75
